isolateAccession,ST,ST,,isolateAccession,Source,Source,,isolateAccession,State,State,,isolateAccession,Year,Year,,isolateAccession,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila LG57 plasmid pLG57,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k,,,,isolateAccession,CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,,,,,,,isolateAccession,,
C206-S_WI-2013-CS-ST213,#e41a1c,COL#e41a1c,,C206-S_WI-2013-CS-ST213,#800080,COL#800080,,C206-S_WI-2013-CS-ST213,#E6FFFF,COL#E6FFFF,,C206-S_WI-2013-CS-ST213,#525252,COL#525252,,C206-S_WI-2013-CS-ST213,100,0,0,0,0,0,"C206-S_WI-2013-CS-ST213,100,0,0,0,0,0","C206-S_WI-2013-CS-ST213,100,0,0,0,0,0",,C206-S_WI-2013-CS-ST213,0,1,0,0,,"C206-S_WI-2013-CS-ST213,0,1,0,0","C206-S_WI-2013-CS-ST213,0,1,0,0",,,,C206-S_WI-2013-CS-ST213,#808000,COL#808000
C207-S_WI-2013-CS-ST222,#3c6ff8,COL#3c6ff8,,C207-S_WI-2013-CS-ST222,#800080,COL#800080,,C207-S_WI-2013-CS-ST222,#E6FFFF,COL#E6FFF,,C207-S_WI-2013-CS-ST222,#525252,COL#525252,,C207-S_WI-2013-CS-ST222,0,0,0,0,0,0,"C207-S_WI-2013-CS-ST222,0,0,0,0,0,0","C207-S_WI-2013-CS-ST222,0,0,0,0,0,0",,C207-S_WI-2013-CS-ST222,0,1,0,0,,"C207-S_WI-2013-CS-ST222,0,1,0,0","C207-S_WI-2013-CS-ST222,0,1,0,0",,,,C207-S_WI-2013-CS-ST222,#808000,COL#808000
C208-S_MA-2013-CS-ST222,#3c6ff8,COL#3c6ff8,,C208-S_MA-2013-CS-ST222,#800080,COL#800080,,C208-S_MA-2013-CS-ST222,#ffe119,COL#ffe119,,C208-S_MA-2013-CS-ST222,#525252,COL#525252,,C208-S_MA-2013-CS-ST222,0,0,0,0,0,0,"C208-S_MA-2013-CS-ST222,0,0,0,0,0,0","C208-S_MA-2013-CS-ST222,0,0,0,0,0,0",,C208-S_MA-2013-CS-ST222,0,1,0,0,,"C208-S_MA-2013-CS-ST222,0,1,0,0","C208-S_MA-2013-CS-ST222,0,1,0,0",,,,C208-S_MA-2013-CS-ST222,#808000,COL#808000
C209-S_MA-2013-CS-ST222,#3c6ff8,COL#3c6ff8,,C209-S_MA-2013-CS-ST222,#800080,COL#800080,,C209-S_MA-2013-CS-ST222,#ffe119,COL#ffe119,,C209-S_MA-2013-CS-ST222,#525252,COL#525252,,C209-S_MA-2013-CS-ST222,0,0,0,0,0,0,"C209-S_MA-2013-CS-ST222,0,0,0,0,0,0","C209-S_MA-2013-CS-ST222,0,0,0,0,0,0",,C209-S_MA-2013-CS-ST222,0,1,0,0,,"C209-S_MA-2013-CS-ST222,0,1,0,0","C209-S_MA-2013-CS-ST222,0,1,0,0",,,,C209-S_MA-2013-CS-ST222,#808000,COL#808000
C210-S_IL-2013-CS-ST222,#3c6ff8,COL#3c6ff8,,C210-S_IL-2013-CS-ST222,#800080,COL#800080,,C210-S_IL-2013-CS-ST222,#000075,COL#000075,,C210-S_IL-2013-CS-ST222,#525252,COL#525252,,C210-S_IL-2013-CS-ST222,0,0,0,0,0,0,"C210-S_IL-2013-CS-ST222,0,0,0,0,0,0","C210-S_IL-2013-CS-ST222,0,0,0,0,0,0",,C210-S_IL-2013-CS-ST222,0,1,0,0,,"C210-S_IL-2013-CS-ST222,0,1,0,0","C210-S_IL-2013-CS-ST222,0,1,0,0",,,,C210-S_IL-2013-CS-ST222,#808000,COL#808000
C211-S_IL-2014-CS-ST222,#3c6ff8,COL#3c6ff8,,C211-S_IL-2014-CS-ST222,#800080,COL#800080,,C211-S_IL-2014-CS-ST222,#000075,COL#000075,,C211-S_IL-2014-CS-ST222,#525252,COL#525252,,C211-S_IL-2014-CS-ST222,0,0,0,0,0,0,"C211-S_IL-2014-CS-ST222,0,0,0,0,0,0","C211-S_IL-2014-CS-ST222,0,0,0,0,0,0",,C211-S_IL-2014-CS-ST222,0,1,0,0,,"C211-S_IL-2014-CS-ST222,0,1,0,0","C211-S_IL-2014-CS-ST222,0,1,0,0",,,,C211-S_IL-2014-CS-ST222,#808000,COL#808000
C212-S_IN-2016-CS-ST222,#3c6ff8,COL#3c6ff8,,C212-S_IN-2016-CS-ST222,#800080,COL#800080,,C212-S_IN-2016-CS-ST222,#e6194B,COL#e6194B,,C212-S_IN-2016-CS-ST222,#525252,COL#525252,,C212-S_IN-2016-CS-ST222,0,0,0,0,0,0,"C212-S_IN-2016-CS-ST222,0,0,0,0,0,0","C212-S_IN-2016-CS-ST222,0,0,0,0,0,0",,C212-S_IN-2016-CS-ST222,0,1,0,0,,"C212-S_IN-2016-CS-ST222,0,1,0,0","C212-S_IN-2016-CS-ST222,0,1,0,0",,,,C212-S_IN-2016-CS-ST222,#808000,COL#808000
C213-S_PA-2016-CS-ST222,#3c6ff8,COL#3c6ff8,,C213-S_PA-2016-CS-ST222,#800080,COL#800080,,C213-S_PA-2016-CS-ST222,#aaffc3,COL#aaffc3,,C213-S_PA-2016-CS-ST222,#252525,COL#252525,,C213-S_PA-2016-CS-ST222,0,0,0,0,0,0,"C213-S_PA-2016-CS-ST222,0,0,0,0,0,0","C213-S_PA-2016-CS-ST222,0,0,0,0,0,0",,C213-S_PA-2016-CS-ST222,0,1,0,0,,"C213-S_PA-2016-CS-ST222,0,1,0,0","C213-S_PA-2016-CS-ST222,0,1,0,0",,,,C213-S_PA-2016-CS-ST222,#808000,COL#808000
C214-S_NY-2015-CS-ST289,#984ea3,COL#984ea3,,C214-S_NY-2015-CS-ST289,#800080,COL#800080,,C214-S_NY-2015-CS-ST289,#fabed4,COL#fabed4,,C214-S_NY-2015-CS-ST289,#252525,COL#252525,,C214-S_NY-2015-CS-ST289,0,0,0,0,0,0,"C214-S_NY-2015-CS-ST289,0,0,0,0,0,0","C214-S_NY-2015-CS-ST289,0,0,0,0,0,0",,C214-S_NY-2015-CS-ST289,0,1,0,1,,"C214-S_NY-2015-CS-ST289,0,1,0,1","C214-S_NY-2015-CS-ST289,0,1,0,1",,,,C214-S_NY-2015-CS-ST289,#808000,COL#808000
C215-S_OH-1992-CS-ST213,#e41a1c,COL#e41a1c,,C215-S_OH-1992-CS-ST213,#800080,COL#800080,,C215-S_OH-1992-CS-ST213,#ffd8b1,COL#ffd8b1,,C215-S_OH-1992-CS-ST213,#525252,COL#525252,,C215-S_OH-1992-CS-ST213,100,0,0,0,0,0,"C215-S_OH-1992-CS-ST213,100,0,0,0,0,0","C215-S_OH-1992-CS-ST213,100,0,0,0,0,0",,C215-S_OH-1992-CS-ST213,0,1,0,0,,"C215-S_OH-1992-CS-ST213,0,1,0,0","C215-S_OH-1992-CS-ST213,0,1,0,0",,,,C215-S_OH-1992-CS-ST213,#808000,COL#808000
C216-S_IL-1996-CS-ST213,#e41a1c,COL#e41a1c,,C216-S_IL-1996-CS-ST213,#800080,COL#800080,,C216-S_IL-1996-CS-ST213,#000075,COL#000075,,C216-S_IL-1996-CS-ST213,#d9d9d9,COL#d9d9d9,,C216-S_IL-1996-CS-ST213,100,0,0,0,0,0,"C216-S_IL-1996-CS-ST213,100,0,0,0,0,0","C216-S_IL-1996-CS-ST213,100,0,0,0,0,0",,C216-S_IL-1996-CS-ST213,0,1,0,0,,"C216-S_IL-1996-CS-ST213,0,1,0,0","C216-S_IL-1996-CS-ST213,0,1,0,0",,,,C216-S_IL-1996-CS-ST213,#469990,COL#469990
C217-S_OH-2001-CS-ST213,#e41a1c,COL#e41a1c,,C217-S_OH-2001-CS-ST213,#800080,COL#800080,,C217-S_OH-2001-CS-ST213,#ffd8b1,COL#ffd8b1,,C217-S_OH-2001-CS-ST213,#bdbdbd,COL#bdbdbd,,C217-S_OH-2001-CS-ST213,100,0,0,0,0,0,"C217-S_OH-2001-CS-ST213,100,0,0,0,0,0","C217-S_OH-2001-CS-ST213,100,0,0,0,0,0",,C217-S_OH-2001-CS-ST213,0,1,0,1,,"C217-S_OH-2001-CS-ST213,0,1,0,1","C217-S_OH-2001-CS-ST213,0,1,0,1",,,,C217-S_OH-2001-CS-ST213,#469990,COL#469990
C218-S_RI-2003-CS-ST213,#e41a1c,COL#e41a1c,,C218-S_RI-2003-CS-ST213,#800080,COL#800080,,C218-S_RI-2003-CS-ST213,#dcbeff,COL#dcbeff,,C218-S_RI-2003-CS-ST213,#969696,COL#969696,,C218-S_RI-2003-CS-ST213,0,0,0,0,0,100,"C218-S_RI-2003-CS-ST213,0,0,0,0,0,100","C218-S_RI-2003-CS-ST213,0,0,0,0,0,100",,C218-S_RI-2003-CS-ST213,0,1,0,0,,"C218-S_RI-2003-CS-ST213,0,1,0,0","C218-S_RI-2003-CS-ST213,0,1,0,0",,,,C218-S_RI-2003-CS-ST213,#469990,COL#469990
C219-S_OH-2003-CS-ST213,#e41a1c,COL#e41a1c,,C219-S_OH-2003-CS-ST213,#800080,COL#800080,,C219-S_OH-2003-CS-ST213,#ffd8b1,COL#ffd8b1,,C219-S_OH-2003-CS-ST213,#969696,COL#969696,,C219-S_OH-2003-CS-ST213,100,0,0,0,0,0,"C219-S_OH-2003-CS-ST213,100,0,0,0,0,0","C219-S_OH-2003-CS-ST213,100,0,0,0,0,0",,C219-S_OH-2003-CS-ST213,0,1,0,0,,"C219-S_OH-2003-CS-ST213,0,1,0,0","C219-S_OH-2003-CS-ST213,0,1,0,0",,,,C219-S_OH-2003-CS-ST213,#469990,COL#469990
C220-S_RI-2004-CS-ST213,#e41a1c,COL#e41a1c,,C220-S_RI-2004-CS-ST213,#800080,COL#800080,,C220-S_RI-2004-CS-ST213,#dcbeff,COL#dcbeff,,C220-S_RI-2004-CS-ST213,#969696,COL#969696,,C220-S_RI-2004-CS-ST213,0,0,0,0,0,100,"C220-S_RI-2004-CS-ST213,0,0,0,0,0,100","C220-S_RI-2004-CS-ST213,0,0,0,0,0,100",,C220-S_RI-2004-CS-ST213,0,1,0,0,,"C220-S_RI-2004-CS-ST213,0,1,0,0","C220-S_RI-2004-CS-ST213,0,1,0,0",,,,C220-S_RI-2004-CS-ST213,#469990,COL#469990
C221-S_CT-2001-CS-ST222,#3c6ff8,COL#3c6ff8,,C221-S_CT-2001-CS-ST222,#800080,COL#800080,,C221-S_CT-2001-CS-ST222,#469990,COL#469990,,C221-S_CT-2001-CS-ST222,#969696,COL#969696,,C221-S_CT-2001-CS-ST222,0,0,0,0,0,0,"C221-S_CT-2001-CS-ST222,0,0,0,0,0,0","C221-S_CT-2001-CS-ST222,0,0,0,0,0,0",,C221-S_CT-2001-CS-ST222,0,1,0,0,,"C221-S_CT-2001-CS-ST222,0,1,0,0","C221-S_CT-2001-CS-ST222,0,1,0,0",,,,C221-S_CT-2001-CS-ST222,#469990,COL#469990
C222-S_OH-2001-CS-ST222,#3c6ff8,COL#3c6ff8,,C222-S_OH-2001-CS-ST222,#800080,COL#800080,,C222-S_OH-2001-CS-ST222,#ffd8b1,COL#ffd8b1,,C222-S_OH-2001-CS-ST222,#969696,COL#969696,,C222-S_OH-2001-CS-ST222,0,0,0,0,0,0,"C222-S_OH-2001-CS-ST222,0,0,0,0,0,0","C222-S_OH-2001-CS-ST222,0,0,0,0,0,0",,C222-S_OH-2001-CS-ST222,0,1,0,1,,"C222-S_OH-2001-CS-ST222,0,1,0,1","C222-S_OH-2001-CS-ST222,0,1,0,1",,,,C222-S_OH-2001-CS-ST222,#469990,COL#469990
C223-S_VT-2002-CS-ST222,#3c6ff8,COL#3c6ff8,,C223-S_VT-2002-CS-ST222,#800080,COL#800080,,C223-S_VT-2002-CS-ST222,#FF9090,COL#FF9090,,C223-S_VT-2002-CS-ST222,#969696,COL#969696,,C223-S_VT-2002-CS-ST222,0,0,0,0,0,0,"C223-S_VT-2002-CS-ST222,0,0,0,0,0,0","C223-S_VT-2002-CS-ST222,0,0,0,0,0,0",,C223-S_VT-2002-CS-ST222,0,1,0,0,,"C223-S_VT-2002-CS-ST222,0,1,0,0","C223-S_VT-2002-CS-ST222,0,1,0,0",,,,C223-S_VT-2002-CS-ST222,#469990,COL#469990
C224-S_OH-2002-CS-ST222,#3c6ff8,COL#3c6ff8,,C224-S_OH-2002-CS-ST222,#800080,COL#800080,,C224-S_OH-2002-CS-ST222,#ffd8b1,COL#ffd8b1,,C224-S_OH-2002-CS-ST222,#969696,COL#969696,,C224-S_OH-2002-CS-ST222,0,0,0,0,0,0,"C224-S_OH-2002-CS-ST222,0,0,0,0,0,0","C224-S_OH-2002-CS-ST222,0,0,0,0,0,0",,C224-S_OH-2002-CS-ST222,0,1,0,0,,"C224-S_OH-2002-CS-ST222,0,1,0,0","C224-S_OH-2002-CS-ST222,0,1,0,0",,,,C224-S_OH-2002-CS-ST222,#469990,COL#469990
C225-S_IL-2003-CS-ST222,#3c6ff8,COL#3c6ff8,,C225-S_IL-2003-CS-ST222,#800080,COL#800080,,C225-S_IL-2003-CS-ST222,#000075,COL#000075,,C225-S_IL-2003-CS-ST222,#969696,COL#969696,,C225-S_IL-2003-CS-ST222,0,0,0,0,0,0,"C225-S_IL-2003-CS-ST222,0,0,0,0,0,0","C225-S_IL-2003-CS-ST222,0,0,0,0,0,0",,C225-S_IL-2003-CS-ST222,0,1,0,0,,"C225-S_IL-2003-CS-ST222,0,1,0,0","C225-S_IL-2003-CS-ST222,0,1,0,0",,,,C225-S_IL-2003-CS-ST222,#469990,COL#469990
C226-S_IL-2004-CS-ST222,#3c6ff8,COL#3c6ff8,,C226-S_IL-2004-CS-ST222,#800080,COL#800080,,C226-S_IL-2004-CS-ST222,#000075,COL#000075,,C226-S_IL-2004-CS-ST222,#969696,COL#969696,,C226-S_IL-2004-CS-ST222,0,0,0,0,0,0,"C226-S_IL-2004-CS-ST222,0,0,0,0,0,0","C226-S_IL-2004-CS-ST222,0,0,0,0,0,0",,C226-S_IL-2004-CS-ST222,0,1,0,0,,"C226-S_IL-2004-CS-ST222,0,1,0,0","C226-S_IL-2004-CS-ST222,0,1,0,0",,,,C226-S_IL-2004-CS-ST222,#469990,COL#469990
C227-S_OH-1997-CS-ST213,#e41a1c,COL#e41a1c,,C227-S_OH-1997-CS-ST213,#800080,COL#800080,,C227-S_OH-1997-CS-ST213,#ffd8b1,COL#ffd8b1,,C227-S_OH-1997-CS-ST213,#969696,COL#969696,,C227-S_OH-1997-CS-ST213,100,0,0,0,0,0,"C227-S_OH-1997-CS-ST213,100,0,0,0,0,0","C227-S_OH-1997-CS-ST213,100,0,0,0,0,0",,C227-S_OH-1997-CS-ST213,0,1,0,1,,"C227-S_OH-1997-CS-ST213,0,1,0,1","C227-S_OH-1997-CS-ST213,0,1,0,1",,,,C227-S_OH-1997-CS-ST213,#469990,COL#469990
C228-S_PA-1998-CS-ST222,#3c6ff8,COL#3c6ff8,,C228-S_PA-1998-CS-ST222,#800080,COL#800080,,C228-S_PA-1998-CS-ST222,#aaffc3,COL#aaffc3,,C228-S_PA-1998-CS-ST222,#bdbdbd,COL#bdbdbd,,C228-S_PA-1998-CS-ST222,0,0,0,0,0,0,"C228-S_PA-1998-CS-ST222,0,0,0,0,0,0","C228-S_PA-1998-CS-ST222,0,0,0,0,0,0",,C228-S_PA-1998-CS-ST222,0,1,0,0,,"C228-S_PA-1998-CS-ST222,0,1,0,0","C228-S_PA-1998-CS-ST222,0,1,0,0",,,,C228-S_PA-1998-CS-ST222,#469990,COL#469990
C229-S_OH-2000-CS-ST222,#3c6ff8,COL#3c6ff8,,C229-S_OH-2000-CS-ST222,#800080,COL#800080,,C229-S_OH-2000-CS-ST222,#ffd8b1,COL#ffd8b1,,C229-S_OH-2000-CS-ST222,#bdbdbd,COL#bdbdbd,,C229-S_OH-2000-CS-ST222,0,0,0,0,0,0,"C229-S_OH-2000-CS-ST222,0,0,0,0,0,0","C229-S_OH-2000-CS-ST222,0,0,0,0,0,0",,C229-S_OH-2000-CS-ST222,0,1,0,0,,"C229-S_OH-2000-CS-ST222,0,1,0,0","C229-S_OH-2000-CS-ST222,0,1,0,0",,,,C229-S_OH-2000-CS-ST222,#469990,COL#469990
C230-S_MO-2018-CS-ST222,#3c6ff8,COL#3c6ff8,,C230-S_MO-2018-CS-ST222,#800080,COL#800080,,C230-S_MO-2018-CS-ST222,#9A6324,COL#9A6324,,C230-S_MO-2018-CS-ST222,#bdbdbd,COL#bdbdbd,,C230-S_MO-2018-CS-ST222,0,0,0,0,0,0,"C230-S_MO-2018-CS-ST222,0,0,0,0,0,0","C230-S_MO-2018-CS-ST222,0,0,0,0,0,0",,C230-S_MO-2018-CS-ST222,0,1,0,0,,"C230-S_MO-2018-CS-ST222,0,1,0,0","C230-S_MO-2018-CS-ST222,0,1,0,0",,,,C230-S_MO-2018-CS-ST222,#469990,COL#469990
C231-S_IN-2018-CS-ST222,#3c6ff8,COL#3c6ff8,,C231-S_IN-2018-CS-ST222,#800080,COL#800080,,C231-S_IN-2018-CS-ST222,#e6194B,COL#e6194B,,C231-S_IN-2018-CS-ST222,#252525,COL#252525,,C231-S_IN-2018-CS-ST222,100,0,0,0,0,0,"C231-S_IN-2018-CS-ST222,100,0,0,0,0,0","C231-S_IN-2018-CS-ST222,100,0,0,0,0,0",,C231-S_IN-2018-CS-ST222,0,1,1,0,,"C231-S_IN-2018-CS-ST222,0,1,1,0","C231-S_IN-2018-CS-ST222,0,1,1,0",,,,C231-S_IN-2018-CS-ST222,#469990,COL#469990
C232-S_OH-2018-CS-STUNK,#e41a1c,COL#e41a1c,,C232-S_OH-2018-CS-STUNK,#800080,COL#800080,,C232-S_OH-2018-CS-STUNK,#ffd8b1,COL#ffd8b1,,C232-S_OH-2018-CS-STUNK,#252525,COL#252525,,C232-S_OH-2018-CS-STUNK,100,0,0,0,0,0,"C232-S_OH-2018-CS-STUNK,100,0,0,0,0,0","C232-S_OH-2018-CS-STUNK,100,0,0,0,0,0",,C232-S_OH-2018-CS-STUNK,0,1,0,0,,"C232-S_OH-2018-CS-STUNK,0,1,0,0","C232-S_OH-2018-CS-STUNK,0,1,0,0",,,,C232-S_OH-2018-CS-STUNK,#469990,COL#469990
C233-S_OH-2018-CS-ST222,#3c6ff8,COL#3c6ff8,,C233-S_OH-2018-CS-ST222,#800080,COL#800080,,C233-S_OH-2018-CS-ST222,#ffd8b1,COL#ffd8b1,,C233-S_OH-2018-CS-ST222,#252525,COL#252525,,C233-S_OH-2018-CS-ST222,0,0,0,0,0,0,"C233-S_OH-2018-CS-ST222,0,0,0,0,0,0","C233-S_OH-2018-CS-ST222,0,0,0,0,0,0",,C233-S_OH-2018-CS-ST222,0,1,0,0,,"C233-S_OH-2018-CS-ST222,0,1,0,0","C233-S_OH-2018-CS-ST222,0,1,0,0",,,,C233-S_OH-2018-CS-ST222,#469990,COL#469990
C234-S_WI-2018-CS-STUNK,#e41a1c,COL#e41a1c,,C234-S_WI-2018-CS-STUNK,#800080,COL#800080,,C234-S_WI-2018-CS-STUNK,#E6FFFF,COL#E6FFFF,,C234-S_WI-2018-CS-STUNK,#252525,COL#252525,,C234-S_WI-2018-CS-STUNK,100,0,0,0,0,0,"C234-S_WI-2018-CS-STUNK,100,0,0,0,0,0","C234-S_WI-2018-CS-STUNK,100,0,0,0,0,0",,C234-S_WI-2018-CS-STUNK,0,1,0,0,,"C234-S_WI-2018-CS-STUNK,0,1,0,0","C234-S_WI-2018-CS-STUNK,0,1,0,0",,,,C234-S_WI-2018-CS-STUNK,#469990,COL#469990
C235-S_RI-2019-CS-ST222,#3c6ff8,COL#3c6ff8,,C235-S_RI-2019-CS-ST222,#800080,COL#800080,,C235-S_RI-2019-CS-ST222,#dcbeff,COL#dcbeff,,C235-S_RI-2019-CS-ST222,#252525,COL#252525,,C235-S_RI-2019-CS-ST222,0,0,0,0,0,0,"C235-S_RI-2019-CS-ST222,0,0,0,0,0,0","C235-S_RI-2019-CS-ST222,0,0,0,0,0,0",,C235-S_RI-2019-CS-ST222,1,1,0,0,,"C235-S_RI-2019-CS-ST222,1,1,0,0","C235-S_RI-2019-CS-ST222,1,1,0,0",,,,C235-S_RI-2019-CS-ST222,#469990,COL#469990
C236-S_IN-2019-CS-STUNK,#d9d9d9,COL#d9d9d9,,C236-S_IN-2019-CS-STUNK,#800080,COL#800080,,C236-S_IN-2019-CS-STUNK,#e6194B,COL#e6194B,,C236-S_IN-2019-CS-STUNK,#252525,COL#252525,,C236-S_IN-2019-CS-STUNK,0,0,0,0,0,0,"C236-S_IN-2019-CS-STUNK,0,0,0,0,0,0","C236-S_IN-2019-CS-STUNK,0,0,0,0,0,0",,C236-S_IN-2019-CS-STUNK,0,1,0,0,,"C236-S_IN-2019-CS-STUNK,0,1,0,0","C236-S_IN-2019-CS-STUNK,0,1,0,0",,,,C236-S_IN-2019-CS-STUNK,#469990,COL#469990
C237-O_NJ-2019-OC-ST222,#3c6ff8,COL#3c6ff8,,C237-O_NJ-2019-OC-ST222,#ff7f00,COL#ff7f00,,C237-O_NJ-2019-OC-ST222,#f032e6,COL#f032e6,,C237-O_NJ-2019-OC-ST222,#252525,COL#252525,,C237-O_NJ-2019-OC-ST222,0,0,0,0,0,0,"C237-O_NJ-2019-OC-ST222,0,0,0,0,0,0","C237-O_NJ-2019-OC-ST222,0,0,0,0,0,0",,C237-O_NJ-2019-OC-ST222,0,1,0,0,,"C237-O_NJ-2019-OC-ST222,0,1,0,0","C237-O_NJ-2019-OC-ST222,0,1,0,0",,,,C237-O_NJ-2019-OC-ST222,#469990,COL#469990
C238-O_OH-2019-OC-ST222,#3c6ff8,COL#3c6ff8,,C238-O_OH-2019-OC-ST222,#ff7f00,COL#ff7f00,,C238-O_OH-2019-OC-ST222,#ffd8b1,COL#ffd8b1,,C238-O_OH-2019-OC-ST222,#252525,COL#252525,,C238-O_OH-2019-OC-ST222,0,0,0,0,0,0,"C238-O_OH-2019-OC-ST222,0,0,0,0,0,0","C238-O_OH-2019-OC-ST222,0,0,0,0,0,0",,C238-O_OH-2019-OC-ST222,0,1,0,1,,"C238-O_OH-2019-OC-ST222,0,1,0,1","C238-O_OH-2019-OC-ST222,0,1,0,1",,,,C238-O_OH-2019-OC-ST222,#469990,COL#469990
C239-S_OH-2019-CS-STUNK,#e41a1c,COL#e41a1c,,C239-S_OH-2019-CS-STUNK,#800080,COL#800080,,C239-S_OH-2019-CS-STUNK,#ffd8b1,COL#ffd8b1,,C239-S_OH-2019-CS-STUNK,#252525,COL#252525,,C239-S_OH-2019-CS-STUNK,100,100,0,0,0,0,"C239-S_OH-2019-CS-STUNK,100,100,0,0,0,0","C239-S_OH-2019-CS-STUNK,100,100,0,0,0,0",,C239-S_OH-2019-CS-STUNK,0,1,0,0,,"C239-S_OH-2019-CS-STUNK,0,1,0,0","C239-S_OH-2019-CS-STUNK,0,1,0,0",,,,C239-S_OH-2019-CS-STUNK,#469990,COL#469990
C240-S_IL-2019-CS-ST222,#3c6ff8,COL#3c6ff8,,C240-S_IL-2019-CS-ST222,#800080,COL#800080,,C240-S_IL-2019-CS-ST222,#000075,COL#000075,,C240-S_IL-2019-CS-ST222,#252525,COL#252525,,C240-S_IL-2019-CS-ST222,0,0,0,0,0,0,"C240-S_IL-2019-CS-ST222,0,0,0,0,0,0","C240-S_IL-2019-CS-ST222,0,0,0,0,0,0",,C240-S_IL-2019-CS-ST222,0,1,0,0,,"C240-S_IL-2019-CS-ST222,0,1,0,0","C240-S_IL-2019-CS-ST222,0,1,0,0",,,,C240-S_IL-2019-CS-ST222,#469990,COL#469990
C241-S_OH-2019-CS-STUNK,#d9d9d9,COL#d9d9d9,,C241-S_OH-2019-CS-STUNK,#800080,COL#800080,,C241-S_OH-2019-CS-STUNK,#ffd8b1,COL#ffd8b1,,C241-S_OH-2019-CS-STUNK,#252525,COL#252525,,C241-S_OH-2019-CS-STUNK,100,0,0,0,0,0,"C241-S_OH-2019-CS-STUNK,100,0,0,0,0,0","C241-S_OH-2019-CS-STUNK,100,0,0,0,0,0",,C241-S_OH-2019-CS-STUNK,0,1,0,0,,"C241-S_OH-2019-CS-STUNK,0,1,0,0","C241-S_OH-2019-CS-STUNK,0,1,0,0",,,,C241-S_OH-2019-CS-STUNK,#469990,COL#469990
C242-S_OH-2019-CS-ST222,#3c6ff8,COL#3c6ff8,,C242-S_OH-2019-CS-ST222,#800080,COL#800080,,C242-S_OH-2019-CS-ST222,#ffd8b1,COL#ffd8b1,,C242-S_OH-2019-CS-ST222,#252525,COL#252525,,C242-S_OH-2019-CS-ST222,0,0,0,0,0,0,"C242-S_OH-2019-CS-ST222,0,0,0,0,0,0","C242-S_OH-2019-CS-ST222,0,0,0,0,0,0",,C242-S_OH-2019-CS-ST222,0,1,0,0,,"C242-S_OH-2019-CS-ST222,0,1,0,0","C242-S_OH-2019-CS-ST222,0,1,0,0",,,,C242-S_OH-2019-CS-ST222,#469990,COL#469990
C243-S_OH-2019-CS-ST213,#e41a1c,COL#e41a1c,,C243-S_OH-2019-CS-ST213,#800080,COL#800080,,C243-S_OH-2019-CS-ST213,#ffd8b1,COL#ffd8b1,,C243-S_OH-2019-CS-ST213,#252525,COL#252525,,C243-S_OH-2019-CS-ST213,0,0,0,0,0,0,"C243-S_OH-2019-CS-ST213,0,0,0,0,0,0","C243-S_OH-2019-CS-ST213,0,0,0,0,0,0",,C243-S_OH-2019-CS-ST213,0,1,0,0,,"C243-S_OH-2019-CS-ST213,0,1,0,0","C243-S_OH-2019-CS-ST213,0,1,0,0",,,,C243-S_OH-2019-CS-ST213,#469990,COL#469990
C244-S_OH-2019-CS-ST213,#e41a1c,COL#e41a1c,,C244-S_OH-2019-CS-ST213,#800080,COL#800080,,C244-S_OH-2019-CS-ST213,#ffd8b1,COL#ffd8b1,,C244-S_OH-2019-CS-ST213,#252525,COL#252525,,C244-S_OH-2019-CS-ST213,100,0,0,0,0,0,"C244-S_OH-2019-CS-ST213,100,0,0,0,0,0","C244-S_OH-2019-CS-ST213,100,0,0,0,0,0",,C244-S_OH-2019-CS-ST213,0,1,0,0,,"C244-S_OH-2019-CS-ST213,0,1,0,0","C244-S_OH-2019-CS-ST213,0,1,0,0",,,,C244-S_OH-2019-CS-ST213,#469990,COL#469990
C245-S_OH-2019-CS-STUNK,#e41a1c,COL#e41a1c,,C245-S_OH-2019-CS-STUNK,#800080,COL#800080,,C245-S_OH-2019-CS-STUNK,#ffd8b1,COL#ffd8b1,,C245-S_OH-2019-CS-STUNK,#252525,COL#252525,,C245-S_OH-2019-CS-STUNK,100,0,0,0,0,0,"C245-S_OH-2019-CS-STUNK,100,0,0,0,0,0","C245-S_OH-2019-CS-STUNK,100,0,0,0,0,0",,C245-S_OH-2019-CS-STUNK,0,1,0,0,,"C245-S_OH-2019-CS-STUNK,0,1,0,0","C245-S_OH-2019-CS-STUNK,0,1,0,0",,,,C245-S_OH-2019-CS-STUNK,#469990,COL#469990
C246-S_OH-2020-CS-ST213,#e41a1c,COL#e41a1c,,C246-S_OH-2020-CS-ST213,#800080,COL#800080,,C246-S_OH-2020-CS-ST213,#ffd8b1,COL#ffd8b1,,C246-S_OH-2020-CS-ST213,#252525,COL#252525,,C246-S_OH-2020-CS-ST213,100,0,0,0,0,0,"C246-S_OH-2020-CS-ST213,100,0,0,0,0,0","C246-S_OH-2020-CS-ST213,100,0,0,0,0,0",,C246-S_OH-2020-CS-ST213,0,1,0,1,,"C246-S_OH-2020-CS-ST213,0,1,0,1","C246-S_OH-2020-CS-ST213,0,1,0,1",,,,C246-S_OH-2020-CS-ST213,#469990,COL#469990
